url	content_type	website_type	lang	country	source
https://www.nytimes.com/2017/10/08/world/middleeast/isis-iraq-surrender.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=photo-spot-region&region=top-news&WT.nav=top-news	news	news	en	us	
https://www.yahoo.com/news/	news	aggregator	en		
https://fr.news.yahoo.com/	news	aggregator	fr	fr	
https://news.google.com/news/	news	aggregator	fr,en		
https://news.google.fr/	news	aggregator	fr	fr	
http://decoetart.over-blog.com/	blog	blogsubdomain	fr	fr	
http://www.huffingtonpost.com/entry/trump-judicial-nominee-abortion-rights_us_59d67a63e4b046f5ad96e117?ncid=inblnkushpmg00000009	news	news	en	us	http://www.ebizmba.com/articles/news-websites
https://korben.info/bluefiles-securisez-lenvoi-de-vos-donnees-confidentielles.html	blog	blog	fr	fr	
http://edition.cnn.com/2017/10/07/us/las-vegas-shooting-investigation/index.html	news	news	en		http://www.ebizmba.com/articles/news-websites
http://www.huffingtonpost.fr/2017/10/08/seminaire-gouvernemental-pourquoi-edouard-philippe-reunit-son-equipe-a-matignon-ce-dimanche_a_23236296/?utm_hp_ref=fr-homepage	news	news	fr	fr	
http://www.bbc.com/news/world-us-canada-41543631	news	news	en		http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://news.sky.com/story/karen-bradley-insists-more-than-90-of-tory-mps-back-theresa-may-11072357	news	news	en		http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
https://www.channel4.com/news/councils-denied-cash-for-sprinklers-in-tower-blocks	news	news	en		http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://www.express.co.uk/news/royal/863798/Queen-Balmoral-summer-holiday-Craithie-church-Prince-Philip-England-Prince-Charles	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://www.dailymail.co.uk/tvshowbiz/article-4960002/Phillip-Schofield-enjoys-night-daughter-Ruby.html	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://www.mirror.co.uk/news/world-news/massive-fire-erupts-moscow-market-11308842	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://www.dailystar.co.uk/showbiz/650687/Margot-Robbie-Hugh-Hefner-Playboy-film-Jared-Leto	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
https://www.theguardian.com/world/2017/oct/08/catalonia-spain-prime-minister-refuses-rule-out-suspending-autonomy	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://www.independent.co.uk/news/uk/politics/labour-tories-poll-latest-lead-jeremy-corbyn-theresa-may-pm-general-election-five-points-bmg-a7988166.html	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://www.itn.co.uk/press-releases/itn-productions-appoints-head-of-news/	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://www.newsnow.co.uk/h/	news	aggregator	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
https://www.thesun.co.uk/news/4638007/trouble-for-theresa-as-labour-pull-ahead-of-tories-and-more-voters-prefer-jeremy-corbyn-as-pm/	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://www.telegraph.co.uk/music/artists/life-strictly-reverend-richard-coless-drug-fuelled-disco-years/	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
https://www.thetimes.co.uk/edition/news/theresa-may-plots-to-demote-boris-johnson-in-reshuffle-fn36vztvd	news	news	en	uk	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://abcnews.go.com/Entertainment/wireStory/resignations-fallout-grow-embattled-producer-weinstein-50351532	news	news	en	us	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
https://www.cbsnews.com/news/how-facebook-ads-helped-elect-trump/	news	news	en	us	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
http://www.chicagotribune.com/sports/chicagomarathon/ct-tirunesh-dibaba-womens-chicago-marathon-20171008-story.html	news	news	en	us	http://www.thebigproject.co.uk/news/#.Wdpe-Wi0PIU
